bjtv_channel,epg_display_name
CCTV-1高清,CCTV1
CCTV-2高清,CCTV2
CCTV-3高清,CCTV3
CCTV-4高清,CCTV4
CCTV-5高清,CCTV5
CCTV-5+,CCTV5+
CCTV-6高清,CCTV6
CCTV-7高清,CCTV7
CCTV-8高清,CCTV8
CCTV-9高清,CCTV9
CCTV-10高清,CCTV10
CCTV-11高清,CCTV11
CCTV-12高清,CCTV12
CCTV-13高清,CCTV13
CCTV-14高清,CCTV14
CCTV-15高清,CCTV15
CCTV-16高清,CCTV16
CCTV17-高清,CCTV17
BRTV北京卫视高清,北京卫视
BRTV文艺高清,BTV文艺
BRTV纪实科教高清,BTV科教
BRTV影视高清,BTV影视
BRTV财经高清,BTV财经
BRTV生活高清,BTV生活
BRTV新闻高清 ,BTV新闻
BRTV体育休闲高清,BTV体育
BTV国际频道,
BRTV卡酷少儿高清,卡酷动画
淘精彩,
萌宠TV,
淘Baby,
淘剧场,
淘电影,
淘娱乐,
房山电视台,
4K超清,
爱上4K,
CCTV4K超高清,CCTV4K
CCTV4K超高清HDR,CCTV4K
BRTV北京卫视超高清SDR,北京卫视
BRTV北京卫视超高清HDR,北京卫视
BRTV体育休闲4K SDR,BTV体育
BRTV体育休闲4K HDR,BTV体育
湖南卫视4K超高清,湖南卫视
江苏卫视4K超高清,江苏卫视
东方卫视4K超高清,东方卫视
浙江卫视4K超高清,浙江卫视
广东卫视4K超高清,广东卫视
深圳卫视4K超高清,深圳卫视
四川卫视4K超高清,四川卫视
山东卫视4K超高清,山东卫视
湖南卫视高清,湖南卫视
江苏卫视高清,江苏卫视
东方卫视高清,东方卫视
浙江卫视高清,浙江卫视
安徽卫视高清,安徽卫视
黑龙江卫视高清,黑龙江卫视
贵州卫视高清,贵州卫视
东南卫视高清,东南卫视
重庆卫视高清,重庆卫视
天津卫视高清,天津卫视
辽宁卫视高清,辽宁卫视
江西卫视高清,江西卫视
广东卫视高清,广东卫视
河北卫视高清,河北卫视
湖北卫视高清,湖北卫视
山东卫视高清,山东卫视
深圳卫视高清,深圳卫视
吉林卫视高清,吉林卫视
甘肃卫视高清,甘肃卫视
河南卫视高清,河南卫视
宁夏卫视高清,宁夏卫视
新疆卫视高清,新疆卫视
西藏卫视高清,西藏卫视
兵团卫视高清,兵团卫视
四川卫视,四川卫视
广西卫视,广西卫视
内蒙古卫视,内蒙古卫视
山西卫视,山西卫视
陕西卫视,陕西卫视
云南卫视,云南卫视
青海卫视,青海卫视
海南卫视,旅游卫视
厦门卫视,厦门卫视
三沙卫视,三沙卫视
收视指南,
CGTN英语,CGTN
CGTN英文纪录,
CGTN俄语,
CGTN法语,
CGTN西班牙语,
CGTN阿拉伯语,
CCTV-4欧洲高清,CCTV4EUO
CCTV-4美洲高清,CCTV4AME
CETV1高清,中国教育1台
CETV2,中国教育2台
CETV3,中国教育3台
CETV4,中国教育4台
山东教育,
纪实频道HD,
金鹰纪实高清,
中国交通,
财富天下,财富天下
金鹰卡通,金鹰卡通
嘉佳卡通,
经典电影,IPTV经典电影
热播剧场,IPTV热播剧场
少儿动画,IPTV少儿动画
魅力时尚,IPTV魅力时尚
快乐垂钓,快乐垂钓
茶,茶频道
城市剧场,第一剧场
军旅剧场,风云剧场
古装剧场,怀旧剧场
音乐现场,风云音乐
地理,世界地理
美妆,女性时尚
美人,现代女性
精选,央视精品
解密,发现之旅
军事,兵器科技
国学,国学
戏曲,梨园
早教,早期教育
少儿动画,少儿动漫
动画,新科动漫
好学生,青年学苑
鉴赏,文物宝库
墨宝,书画频道
光影,摄影频道
台球,央视台球
爱生活,央广健康
武术,武术世界
高网,高尔夫网球
足球,风云足球
武侠剧场,
喜剧影院,
动作影院,CHC动作电影
家庭影院,CHC家庭电影
星影,
睛彩广场舞,
睛彩竞技,
睛彩篮球,
睛彩羽毛球,
,哈哈炫动
,延边卫视
,黄河卫视
,康巴卫视
,外汇理财
,电竞天堂
,IPTV5+
,IPTV6+
,GTV游戏竞技
,新动漫
,山东齐鲁
,山东体育
,山东农科
,山东公共
,山东少儿
,山东影视
,山东综艺
,山东生活
,环宇电影
,湖北综合频道
,湖北影视频道
,湖北教育频道
,湖北生活频道
,湖北公共・新闻
,湖北经济频道
,湖北垄上频道
,武汉新闻综合频道
,武汉电视剧频道
,武汉科技生活频道
,武汉经济频道
,武汉文体频道
,武汉外语频道
,武汉少儿频道
,武汉教育电视台
,SCTV2
,SCTV3
,SCTV4
,SCTV5
,SCTV7
,峨嵋电影
,SCTV9
,SCTV8
,CDTV1
,CDTV2
,CDTV3
,CDTV4
,CDTV5
,CDTV6
,辽宁都市
,辽宁影视剧
,辽宁青少
,辽宁生活
,辽宁公共
,辽宁北方
,辽宁体育
,辽宁经济
,沈阳新闻
,求索科学
,CHC高清电影
,求索动物
,求索记录
,CCTV-娱乐
,CCTV-戏曲
,彩民在线
,汽摩
,留学世界
,天元围棋
,证券资讯
,环球奇观
,幼儿教育
,老故事
,先锋乒羽
,车迷频道
,四海钓鱼
,环球旅游
,京视剧场
,弈坛春秋
,时代家居
,时代出行
,时代风尚
,百姓健康
,精品剧场
,欧美影院
,noepg
