channelID,userChannelID,channelName,channelURL,discardReason
01010001000000050000000000000338,168,南方卫视,igmp://239.3.1.161:8001,不在映射表中
00000001000000050000000000000558,522,总平台测试1,igmp://239.3.1.247:2000,不在映射表中
00000001000000050000000000000560,523,总平台测试2,igmp://239.3.1.248:2000,不在映射表中
00000001000000050000000000000533,324,熊猫频道,igmp://239.3.1.66:8068,不在映射表中
00000001000000050000000000000104,206,IPTV3＋,igmp://239.3.1.198:9004,不在映射表中
00000001000000050000000000000105,208,IPTV5＋,igmp://239.3.1.200:9008,不在映射表中
00000001000000050000000000000107,205,IPTV6＋,igmp://239.3.1.197:9016,不在映射表中
00000001000000050000000000000146,209,IPTV8＋,igmp://239.3.1.201:8072,不在映射表中
01010001000000050000000000000001,121,BRTV北京卫视,igmp://239.3.1.225:8000,不在映射表中
01010001000000050000000000000010,128,BRTV卡酷少儿,igmp://239.3.1.234:8000,不在映射表中
01010001000000050000000000000004,124,BRTV影视,igmp://239.3.1.228:8000,不在映射表中
01010001000000050000000000000329,520,4K测试,igmp://239.3.1.104:8001,不在映射表中
01010001000000050000000000000330,521,高清测试,igmp://239.3.1.103:8001,不在映射表中
00000001000000050000000000000590,380,体育赛事高清,igmp://239.3.1.157:8176,不在映射表中
01010001000000050000000000000384,19,聚鲨环球精选,igmp://239.3.1.179:8001,不在映射表中
01010001000000050000000000000009,129,BRTV新闻,igmp://239.3.1.233:8000,不在映射表中
01010001000000050000000000000003,123,BRTV纪实科教,igmp://239.3.1.227:8000,不在映射表中
01010001000000050000000000000007,127,BRTV生活,igmp://239.3.1.231:8000,不在映射表中
01010001000000050000000000000018,505,轮播频道5,igmp://239.3.1.253:8001,不在映射表中
01010001000000050000000000000005,125,BRTV财经,igmp://239.3.1.229:8000,不在映射表中
01010001000000050000000000000127,502,VBR测试-2,igmp://239.3.1.140:8001,不在映射表中
01010001000000050000000000000006,126,BRTV体育休闲,igmp://239.3.1.230:8000,不在映射表中
01010001000000050000000000000002,122,BRTV文艺,igmp://239.3.1.226:8000,不在映射表中
01010001000000050000000000000126,515,VBR测试-1,igmp://239.3.1.139:8001,不在映射表中
00000001000000050000000000000546,379,IPTV5＋高清,igmp://239.3.1.237:4120,不在映射表中
01010001000000050000000000000465,49,聚鲨环球,igmp://239.3.1.160:8001,不在映射表中
01010001000000050000000000000455,60,优购物精选,igmp://239.3.1.190:8001,不在映射表中
01010001000000050000000000000456,61,时尚购物精选,igmp://239.3.1.191:8001,不在映射表中
01010001000000050000000000000438,43,央广购物精选,igmp://239.3.1.223:8001,不在映射表中
01010001000000050000000000000437,20,央广购物,igmp://239.3.1.222:8001,不在映射表中
01010001000000050000000000000442,33,时尚购物,igmp://239.3.1.181:8001,不在映射表中
01010001000000050000000000000443,42,家有购物,igmp://239.3.1.185:8001,不在映射表中
01010001000000050000000000000441,32,优购物,igmp://239.3.1.180:8001,不在映射表中
01010001000000050000000000000468,30,家有购物精选,igmp://239.3.1.186:8001,不在映射表中
